freq,unit,icha11_hf,geo\TIME_PERIOD	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
A,EUR_HAB,TOT_HF,AT	3530.35 	3616.19 	3705.34 	3855.27 	3928.93 	4041.59 	4129.77 	4237.37 	4359.69 	4510.08 
A,EUR_HAB,TOT_HF,BA	: 	: 	: 	: 	337.05 	346.08 	372.37 	402.60 	409.09 	434.88 
A,EUR_HAB,TOT_HF,BE	3312.19 	3400.33 	3529.81 	3651.44 	3723.62 	3814.33 	3990.81 	4096.70 	4224.91 	4372.81 
A,EUR_HAB,TOT_HF,BG	: 	: 	400.96 	436.06 	413.42 	457.59 	471.74 	510.22 	556.20 	586.55 
A,EUR_HAB,TOT_HF,CH	: 	5792.67 	6587.09 	6900.62 	6940.40 	7181.75 	8410.01 	8484.88 	8476.35 	8159.59 
A,EUR_HAB,TOT_HF,CY	: 	1525.21 	1500.98 	1474.97 	1449.97 	1421.46 	1438.18 	1485.39 	1564.91 	1700.49 
A,EUR_HAB,TOT_HF,CZ	: 	: 	: 	: 	1171.21 	1139.09 	1157.03 	1193.39 	1352.45 	1482.65 
A,EUR_HAB,TOT_HF,DE	3355.82 	3479.51 	3616.63 	3704.81 	3834.13 	3984.40 	4143.20 	4275.89 	4476.09 	4654.26 
A,EUR_HAB,TOT_HF,DK	: 	4649.57 	4630.93 	4790.53 	4759.80 	4854.70 	4969.01 	5066.91 	5164.02 	5269.24 
A,EUR_HAB,TOT_HF,EE	693.54 	700.05 	731.10 	790.17 	863.26 	970.27 	1041.66 	1107.80 	1193.55 	1312.58 
A,EUR_HAB,TOT_HF,EL	2011.75 	1933.97 	1683.11 	1522.08 	1384.25 	1284.05 	1339.78 	1368.10 	1338.15 	1358.49 
A,EUR_HAB,TOT_HF,ES	2100.60 	2100.17 	2086.43 	2018.02 	1984.43 	2018.31 	2117.47 	2145.06 	2231.75 	2314.43 
A,EUR_HAB,TOT_HF,EU27_2020	: 	: 	: 	: 	: 	2658.39 	2736.11 	2805.03 	2901.42 	2993.65 
A,EUR_HAB,TOT_HF,EU28	: 	: 	: 	: 	: 	2773.03 	2900.40 	2915.22 	2979.13 	3073.17 
A,EUR_HAB,TOT_HF,FI	3118.68 	3206.97 	3389.10 	3559.49 	3683.49 	3705.37 	3720.86 b	3712.03 	3749.64 	3827.56 
A,EUR_HAB,TOT_HF,FR	3388.52 	3455.53 	3535.02 	3606.13 	3671.18 	3739.25 	3779.48 	3845.64 	3898.96 	3945.71 
A,EUR_HAB,TOT_HF,HR	: 	: 	: 	: 	671.11 	686.44 	719.53 	763.03 	805.78 	870.38 
A,EUR_HAB,TOT_HF,HU	681.72 	743.16 	766.40 	748.86 	747.64 	758.94 	785.40 	827.76 	875.20 	915.78 
A,EUR_HAB,TOT_HF,IE	: 	: 	3985.13 	4055.46 	3999.95 	3994.90 	4089.89 	4228.37 	4413.89 	4608.66 
A,EUR_HAB,TOT_HF,IS	: 	: 	2811.57 	2928.42 	3063.76 	3386.34 	3853.04 	4539.14 	5272.83 	5282.39 
A,EUR_HAB,TOT_HF,IT	: 	: 	: 	2396.32 	2349.61 	2374.06 	2414.15 	2440.53 	2489.35 	2545.28 
A,EUR_HAB,TOT_HF,LI	: 	: 	: 	: 	7481.17 	7598.39 	8665.47 	8747.41 	8579.88 	8217.96 
A,EUR_HAB,TOT_HF,LT	626.40 	616.80 	670.97 	701.81 	725.74 	772.61 	834.41 	899.98 	966.21 	1060.96 
A,EUR_HAB,TOT_HF,LU	: 	: 	5089.73 	4639.11 b	4730.53 	4869.32 	4829.75 	4897.36 	5009.21 	5221.36 
A,EUR_HAB,TOT_HF,LV	: 	: 	: 	: 	612.48 	647.40 	702.31 	794.11 	828.80 	936.20 
A,EUR_HAB,TOT_HF,MT	: 	: 	: 	: 	: 	1829.54 	1998.56 	2075.55 	2226.88 	2289.79 
A,EUR_HAB,TOT_HF,NL	3777.29 	3906.62 	3986.98 	4107.20 	4159.68 	4207.77 	4205.21 	4281.66 	4355.42 	4500.62 
A,EUR_HAB,TOT_HF,NO	: 	: 	6358.32 	6935.51 	6915.78 	6838.71 	6787.99 	6747.31 	6906.95 	6987.71 
A,EUR_HAB,TOT_HF,PL	: 	: 	: 	: 	661.57 	675.61 	718.15 	731.01 	807.48 	829.54 
A,EUR_HAB,TOT_HF,PT	1681.54 	1704.27 	1623.05 	1545.16 	1533.34 	1554.48 	1616.41 	1696.74 	1770.29 	1878.02 
A,EUR_HAB,TOT_HF,RO	: 	: 	307.69 	313.18 	373.66 	380.14 	399.83 	431.88 	493.75 	583.91 
A,EUR_HAB,TOT_HF,SE	2967.67 	3324.04 	4551.05 	4849.60 	5018.91 	4954.90 	5022.10 	5099.33 	5147.42 	5060.99 
A,EUR_HAB,TOT_HF,SI	: 	: 	: 	: 	: 	1551.74 	1603.66 	1660.39 	1703.65 	1830.93 
A,EUR_HAB,TOT_HF,SK	: 	: 	: 	1026.35 	1031.40 	970.05 	998.98 	1043.40 	1051.83 	1099.99 
A,EUR_HAB,TOT_HF,UK	: 	: 	: 	: 	3261.02 	3559.66 	4021.21 	3662.83 	3503.62 	3607.59 
