DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,AT,2019,6308.90,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,BA,2019,931.86,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,BE,2019,8735.93,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,BG,2019,3353.46,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,CH,2019,10666.14,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,CY,2019,588.29,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,CZ,2019,3485.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,DE,2019,50406.17,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,DK,2019,3045.10,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,EE,2019,551.62,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,EL,2019,6003.23,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,ES,2019,25597.33,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,FI,2019,2987.41,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,FR,2019,23333.63,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,HR,2019,646.43,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,HU,2019,4025.16,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,IE,2019,2045.05,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,IS,2019,171.45,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,IT,2019,35436.31,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,LT,2019,1713.04,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,MIO_PPS,HF3,LU,2019,226.52,
